State,Product,District,LGD Code,Category,Sector,GI Status,Department
Andhra Pradesh,Ponduru Dhoti & Shirtings,Srikakulam,519,Others,Textile,No,Ministry of Textile
Andhra Pradesh,Jute Works,Srikakulam,519,Others,Handicraft,No,DC Handicraft
Andhra Pradesh,Cashew Kernels,Srikakulam,519,Tertiary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Andhra Pradesh,Srikalahasthi Kalamkari fabrics/Handicrafts,Tirupati,752,Primary,Handloom,Yes,DC Handloom
Andhra Pradesh,Venkatagiri Cotton Sarees,Tirupati,752,Secondary,Handloom,Yes,DC Handloom
Andhra Pradesh,Pen kalamkari,Tirupati,752,Tertiary,Handloom,Yes,DC Handloom
Andhra Pradesh,Wood Carvings,Tirupati,752,Others,Handicraft,No,DC Handicraft
Andhra Pradesh,Lord Venkateswara Swamy Photo,Tirupati,752,Others,Handicraft,No,DC Handicraft
Andhra Pradesh,Chennuru Silk Sarees,Tirupati,752,Others,Handloom,No,DC Handloom
Andhra Pradesh,Seafood Cluster,Visakhapatnam,520,Primary,Marine,No,Department of Fisheries
Andhra Pradesh,Basket Weaving,Visakhapatnam,520,Secondary,Handicraft,No,DC Handicraft
Andhra Pradesh,Mango Jelly,Vizianagaram,521,Primary,Food processing,No,Ministry of Food Processing
Andhra Pradesh,Bobilli Veena,Vizianagaram,521,Secondary,Handicraft,Yes,DC Handicraft
Andhra Pradesh,Design Bedsheets,Vizianagaram,521,Tertiary,Textile,No,Ministry of Textile
Andhra Pradesh,Processed Prawn & Shrimp,West Godavari District,523,Primary,Marine,No,Department of Fisheries
Andhra Pradesh,Veemavaram Light Weight Sarees,West Godavari District,523,Secondary,Handloom,No,DC Handloom
Andhra Pradesh,Crochet Lace,West Godavari District,523,Tertiary,Handicraft,No,DC Handicraft
Andhra Pradesh,Narspur Crochet Lace,West Godavari District,523,Others,Handicraft,Yes,DC Handicraft
Andhra Pradesh,Vonipenta Brass,YSR Kadapa,504,Secondary,Handicraft,No,DC Handicraft
Andhra Pradesh,Madhavaram Sarees,YSR Kadapa,504,Tertiary,Handloom,No,DC Handloom
Andhra Pradesh,Prodattur Raw (Kora) Silk Shirting,YSR Kadapa,504,Others,Textile,No,Ministry of Textile
Andhra Pradesh,Barytes & Barium Compounds,YSR Kadapa,504,Primary,Others,No,Ministry of Chemicals & Fertilizers
Arunachal Pradesh,Large Cardamom,Anjaw,628,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Areca nut,Changlang,229,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Kiwi,Dibang Valley,230,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Orange,East Kameng,231,Primary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Jaggery,East Siang,232,Primary,Food processing,No,Ministry of Food Processing
Arunachal Pradesh,Orange,Kamle,718,Primary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Large Cardamom,Kra Daadi,677,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Large Cardamom,Kurung Kumey,233,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,King Chilli,Leparada,724,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Mustard Seed,Lohit,234,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Bead Necklace,Longding,666,Primary,Handicraft,No,DC Handicraft
Arunachal Pradesh,Ginger,Lower Dibang Valley,235,Primary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Turmeric,Lower Siang,719,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Kiwi,Lower Subansiri,236,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Turmeric,Namsai,678,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Ginger,Pakke Kessang,723,Primary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Turmeric,Papum Pare,237,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Kiwi,Shi Yomi,725,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Large Cardamom,Siang,679,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Chillies,Tawang,238,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Ginger,Tirap,239,Primary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Orange,Upper Siang,240,Primary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Orange,Upper Subansiri,241,Primary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Apple,West Kameng,242,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Arunachal Pradesh,Pineapple,West Siang,243,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Rice,Bajali,739,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Honey,Baksa,616,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Bell Metal Products,Barpeta,280,Primary,Handicraft,No,DC Handicraft
Assam,Rice,Barpeta,280,Secondary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Tea,Biswanath,705,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Maize,Bongaigaon,281,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Scented and Glutonious Rice,Cachar,282,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Aromatic Rice,Charaideo,708,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Lemon,Chirang,612,Primary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Assam,Vegetables,Darrang,283,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Red Rice,Dhemaji,284,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Chilly,Dhubri,285,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Organic Tea,Dibrugarh,286,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Ginger,Dima Hasao,299,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Banana,Goalpara,287,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Agarwood & Its Derivatives,Golaghat,288,Primary,Manufacturing,No,Ministry of Agriculture & Farmers' Welfare
Assam,Orthodox tea,Golaghat,288,Primary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Assam,Arecanut,Hailakandi,289,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Jaggery,Hojai,709,Primary,Food processing,No,Ministry of Food Processing
Assam,Bhoot Jholokia,Jorhat,290,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,"Home Furnishing made of Eri , Muga & Assam Silk, etc.",Kamrup (M),618,Primary,Textile,Yes,Minsitry of Textile
Assam,Banana,Kamrup(R),291,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Ginger,Karbi Anglong,292,Primary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Assam,Plates and Bowls made of Arecanut Leaf Sheath,Karimganj,293,Primary,Manufacturing,No,MSME
Assam,Cane & Bamboo Furniture & Decorative Items,Karimganj,293,Secondary,Handicraft,No,DC Handicraft
Assam,Mushroom,Kokrajhar,294,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Handloom Products of Silk & Cotton,Lakhimpur,295,Primary,Handloom,No,Ministry of Textiles
Assam,Processed Pork,Lakhimpur,295,Primary,Food processing,No,Ministry of Food Processing
Assam,Mustard Seeds,Majuli,706,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Maize,Morigaon,296,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Pearl,Nagaon,297,Primary,Handicraft,No,Ministry of Commerce and Industry.
Assam,Fruits and vegetables,Nagaon,297,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Rice & Rice Products,Nalbari,298,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Rice & Rice Products,Sivasagar,300,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,"Parboiled Rice , Steam Rice & all Rice products",Sonitpur,301,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Processed cashew nuts,South Salamara- Mankachar,707,Primary,Food processing,No,Ministry of Food Processing
Assam,Honey,Tamulpur,756,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Assam Lemon,Tinsukia,302,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Orthodox Tea (black) and Green Tea,Udalguri,617,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Assam,Eri (cocoon and fabric),Udalguri,617,Secondary,Textile,No,Ministry of Textile
Assam,Ginger,West Karbi Anglong,710,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Jute,Araria,188,Secondary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Makhana,Araria,188,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Mushroom,Arwal,611,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Pumpkin,Arwal,611,Secondary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Lemon Grass,Aurangabad,189,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Strawberry,Aurangabad,189,Secondary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Banka Silk,Banka,190,Primary,Handloom,No,DC Handloom
Bihar,Katarni Rice,Banka,190,Secondary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Bihar,Chilli,Begusarai,191,Secondary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Maize,Begusarai,191,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Bhagalpur Silk,Bhagalpur,192,Primary,Handloom,Yes,DC Handloom
Bihar,Jardalu Mango,Bhagalpur,192,Tertiary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Bihar,Manjusha Painting,Bhagalpur,192,Secondary,Handicraft,Yes,DC Handicraft
Bihar,Applique Work ,Bhojpur,193,Secondary,Handicraft,Yes,DC Handicraft
Bihar,Bhojpur Painting,Bhojpur,193,Primary,Handicraft,No,DC Handicraft
Bihar,Rice,Bhojpur,193,Tertiary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Hand Embroidery,Buxar,194,Tertiary,Handicraft,No,DC Handicraft
Bihar,Mentha,Buxar,194,Secondary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Sonachud Rice,Buxar,194,Primary,Handloom,No,DC Handloom
Bihar,Madhubhani Paintings,Darbhanga,195,Secondary,Handicraft,Yes,DC Handicraft
Bihar,Makhana,Darbhanga,195,Primary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Bihar,Terracotta,Darbhanga,195,Tertiary,Handicraft,No,DC Handicraft
Bihar,Bags & Garments,East Champaran,213,Tertiary,Textile,No,Ministry of Textile
Bihar,Litchi,East Champaran,213,Secondary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Seep Buttons,East Champaran,213,Primary,Textile,No,Ministry of Textile
Bihar,Handloom/Garments,Gaya,196,Tertiary,Textile,No,Minsitry of Textile
Bihar,Stone Art,Gaya,196,Primary,Handicraft,No,DC Handicraft
Bihar,Tilkut,Gaya,196,Secondary,Food Processing,No,Ministry of Food Processing
Bihar,Sugarcane,Gopalganj,197,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Turmeric,Gopalganj,197,Secondary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Crochet Goods,Jamui,198,Primary,Handicraft,No,DC Handicraft
Bihar,Jackfruit,Jamui,198,Secondary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Mushroom,Jehanabad,199,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Rice,Jehanabad,199,Secondary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Carpet,Kaimur (Bhabua),200,Secondary,Handicraft,No,DC Handicraft
Bihar,Rice,Kaimur (Bhabua),200,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Jute,Katihar,201,Primary,Handicraft,No,DC Handicraft
Bihar,Maize,Katihar,201,Tertiary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Makhana,Katihar,201,Secondary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Bihar,Bamboo Art,Khagaria,202,Secondary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Banana,Khagaria,202,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Maize,Khagaria,202,Tertiary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Dragon Fruit,Kishanganj,203,Tertiary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Pineapple,Kishanganj,203,Secondary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Tea,Kishanganj,203,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Pulses (Masoor),Lakhisarai,204,Secondary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Tomato,Lakhisarai,204,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Bamboo Art,Madhepura,205,Primary,Handicraft,No,DC Handicraft
Bihar,Mango,Madhepura,205,Secondary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Madhubani Paintings,Madhubani,206,Primary,Handicraft,Yes,DC Handicraft
Bihar,Makhana,Madhubani,206,Tertiary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Bihar,Sikki Painting,Madhubani,206,Secondary,Handicraft,Yes,DC Handicraft
Bihar,Lemon Grass,Munger,207,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Mentha,Munger,207,Secondary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Bags & Garments,Muzaffarpur,208,Tertiary,Textile,No,Ministry of Textile
Bihar,Shahi Litchi,Muzaffarpur,208,Primary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Bihar,Sujini Embroidery,Muzaffarpur,208,Secondary,Handicraft,Yes,DC Handicraft
Bihar,Bawan Booti,Nalanda,209,Primary,Handloom,No,DC Handloom
Bihar,Silao Khaja,Nalanda,209,Secondary,Food Processing,Yes,Ministry of Food Processing
Bihar,Handloom,Nawada,210,Secondary,Handloom,No,DC Handloom
Bihar,Magahi Paan/ Betel Vine,Nawada,210,Primary,Food Processing,Yes,Ministry of Food Processing
Bihar,Brass Metal Work,Patna,212,Primary,Handicraft,No,DC Handicraft
Bihar,Garments & Active Wear,Patna,212,Tertiary,Textile,No,Ministry of Textile
Bihar,Tikuli Paintings,Patna,212,Secondary,Handicraft,No,DC Handicraft
Bihar,Bamboo Art,Purnea,214,Primary,Handicraft,No,DC Handicraft
Bihar,Jute,Purnea,214,Secondary,Handicraft,No,DC Handicraft
Bihar,Makhana (Foxnut),Purnea,214,Tertiary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Bihar,Menthol,Rohtas,215,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Sonachud Rice,Rohtas,215,Secondary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Tomato,Rohtas,215,Tertiary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Makhana (Foxnut),Saharsa,216,Primary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Bihar,Bamboo Art,Samastipur,217,Primary,Handicraft,No,DC Handicraft
Bihar,Turmeric,Samastipur,217,Secondary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Tomato,Saran,218,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Onion,Sheikhpura,219,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Maize,Sheohar,220,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Applique Work,Sitamarhi,221,Secondary,Handicraft,Yes,DC Handicraft
Bihar,Litchi,Sitamarhi,221,Tertiary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Sikki Art,Sitamarhi,221,Primary,Handicraft,Yes,DC Handicraft
Bihar,Mentha,Siwan,222,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Lac Bangles,Supaul,223,Primary,Handicraft,No,DC Handicraft
Bihar,Makhana (Foxnut),Supaul,223,Secondary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Bihar,Banana,Vaishali,224,Secondary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Honey,Vaishali,224,Tertiary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Bihar,Sujni Embroidery,Vaishali,224,Primary,Handicraft,Yes,DC Handicraft
Bihar,Marcha Chura,West Champaran,211,Primary,Food Processing,No,Ministry of Food Processing
Bihar,Ready made Garments,West Champaran,211,Secondary,Textile,No,Ministry of Textile
Chandigarh,Tourism,Chandigarh,44,Primary,Others,No,Ministry of Tourism
Chhattisgarh,Handloom,Balod,646,Primary,Handloom,No,DC Handloom
Chhattisgarh,Rice based products - poha etc,Baloda bazar,644,Primary,Food Processing,No,Ministry of Food Processing
Chhattisgarh,"Rice- Jiraphul, Bisni etc",Balrampur,649,Primary,Agriculture,Yes,Ministry of Agriculture & Farmers' Welfare
Chhattisgarh,Bell Metal (Dhokra),Bastar,374,Primary,Handicraft,Yes,DC Handicraft
Chhattisgarh,Tamarind,Bastar,374,Secondary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Chhattisgarh,Papaya Based Product,Bemetara,650,Primary,Food Processing,No,Ministry of Food Processing
Chhattisgarh,"Minor Forest Produce - Tamarind, Mahua",Bijapur,636,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
Chhattisgarh,Black Rice,Bilaspur,375,Primary,Agriculture,No,Ministry of Agriculture & Farmers' Welfare
